Drop Rate,Activation Function,Learning Rates,CF Size,Mean Accuracy,Accuracy Standard Error,Mean AUC,AUC Standard Error,SummaryObject
0.1,ADAM,0.001,12,0.675806452,0.053091228,0.837434964,0.837434964,<__main__.CNNSummary object at 0x0000023FD1AAD310>
0.1,ADAM,0.001,16,0.783870968,0.048615054,0.913891779,0.913891779,<__main__.CNNSummary object at 0x0000023FD1A4C830>
0.1,ADAM,0.001,20,0.759677419,0.026181747,0.886940687,0.886940687,<__main__.CNNSummary object at 0x0000023FD1AAC620>
0.1,ADAM,0.005,4,0.74516129,0.061713311,0.932934443,0.932934443,<__main__.CNNSummary object at 0x0000023FD1932E70>
0.1,ADAM,0.005,8,0.756451613,0.055487153,0.926899063,0.926899063,<__main__.CNNSummary object at 0x0000023FD1B744A0>
0.1,ADAM,0.005,12,0.724193548,0.052475156,0.916077003,0.916077003,<__main__.CNNSummary object at 0x0000023FD1C43620>
0.1,ADAM,0.005,16,0.725806452,0.030496243,0.870915713,0.870915713,<__main__.CNNSummary object at 0x0000023FD1B76CF0>
0.1,ADAM,0.005,20,0.814516129,0.041826782,0.913683663,0.913683663,<__main__.CNNSummary object at 0x0000023FD1BE13D0>
0.1,ADAM,0.01,4,0.598387097,0.022436174,0.799687825,0.799687825,<__main__.CNNSummary object at 0x0000023FD1D086B0>
0.1,ADAM,0.01,8,0.688709677,0.040451407,0.844120708,0.844120708,<__main__.CNNSummary object at 0x0000023FCD283320>
0.1,ADAM,0.01,12,0.587096774,0.02477789,0.758688866,0.758688866,<__main__.CNNSummary object at 0x0000023FD1C42300>
0.1,ADAM,0.01,16,0.680645161,0.050915142,0.836576483,0.836576483,<__main__.CNNSummary object at 0x0000023FD1DD3B00>
0.1,ADAM,0.01,20,0.696774194,0.048292919,0.857960458,0.857960458,<__main__.CNNSummary object at 0x0000023FD19EB0E0>
0.2,SGD,0.001,4,0.491935484,0.026256162,0.486836629,0.486836629,<__main__.CNNSummary object at 0x0000023FCF44AB40>
0.2,SGD,0.001,8,0.491935484,0.015087328,0.500884495,0.500884495,<__main__.CNNSummary object at 0x0000023FD1D61880>
0.2,SGD,0.001,12,0.498387097,0.001612903,0.491883455,0.491883455,<__main__.CNNSummary object at 0x0000023FD1D0BEF0>
0.2,SGD,0.001,16,0.511290323,0.011290323,0.548126951,0.548126951,<__main__.CNNSummary object at 0x0000023FD1EEA900>
0.2,SGD,0.001,20,0.520967742,0.012388945,0.512955255,0.512955255,<__main__.CNNSummary object at 0x0000023FD1DD2000>
0.2,SGD,0.005,4,0.512903226,0.017778555,0.566987513,0.566987513,<__main__.CNNSummary object at 0x0000023FD1F48BF0>
0.2,SGD,0.005,8,0.5,0,0.543080125,0.543080125,<__main__.CNNSummary object at 0x0000023FD0463170>
0.2,SGD,0.005,12,0.533870968,0.021699394,0.624297607,0.624297607,<__main__.CNNSummary object at 0x0000023FD1B76300>
0.2,SGD,0.005,16,0.496774194,0.014107142,0.521800208,0.521800208,<__main__.CNNSummary object at 0x0000023FD1E2D400>
0.2,SGD,0.005,20,0.503225806,0.001975395,0.575754422,0.575754422,<__main__.CNNSummary object at 0x0000023FD20CFCE0>
0.2,SGD,0.01,4,0.569354839,0.052980864,0.615452653,0.615452653,<__main__.CNNSummary object at 0x0000023FCD1DEB10>
0.2,SGD,0.01,8,0.508064516,0.006246747,0.586862643,0.586862643,<__main__.CNNSummary object at 0x0000023FD20CDD30>
0.2,SGD,0.01,12,0.548387097,0.048387097,0.638969823,0.638969823,<__main__.CNNSummary object at 0x0000023FD1D085C0>
0.2,SGD,0.01,16,0.593548387,0.03539211,0.706555671,0.706555671,<__main__.CNNSummary object at 0x0000023FD1F4B830>
0.2,SGD,0.01,20,0.627419355,0.064988192,0.743236212,0.743236212,<__main__.CNNSummary object at 0x0000023FD1BE1D30>
0.2,ADAM,0.001,4,0.717741935,0.066305822,0.826899063,0.826899063,<__main__.CNNSummary object at 0x0000023FCD420EC0>
0.2,ADAM,0.001,8,0.812903226,0.016800538,0.915296566,0.915296566,<__main__.CNNSummary object at 0x0000023FD21F3FE0>
0.2,ADAM,0.001,12,0.741935484,0.061258481,0.845941727,0.845941727,<__main__.CNNSummary object at 0x0000023FCF43E840>
0.2,ADAM,0.001,16,0.825806452,0.015000867,0.918366285,0.918366285,<__main__.CNNSummary object at 0x0000023FD22B11C0>
0.2,ADAM,0.001,20,0.770967742,0.033309478,0.885744017,0.885744017,<__main__.CNNSummary object at 0x0000023FD2388770>
0.2,ADAM,0.005,4,0.762903226,0.058187594,0.923204995,0.923204995,<__main__.CNNSummary object at 0x0000023FD238B380>
0.2,ADAM,0.005,8,0.7,0.065287725,0.811810614,0.811810614,<__main__.CNNSummary object at 0x0000023FD23F3A10>
0.2,ADAM,0.005,12,0.785483871,0.025064952,0.925442248,0.925442248,<__main__.CNNSummary object at 0x0000023FD23F1E50>
0.2,ADAM,0.005,16,0.74516129,0.025194354,0.879136316,0.879136316,<__main__.CNNSummary object at 0x0000023FD20CF8F0>
0.2,ADAM,0.005,20,0.75,0.023233646,0.905150884,0.905150884,<__main__.CNNSummary object at 0x0000023FD200ACC0>
0.2,ADAM,0.01,4,0.614516129,0.024908783,0.828251821,0.828251821,<__main__.CNNSummary object at 0x0000023FD245C710>
0.2,ADAM,0.01,8,0.701612903,0.047230808,0.875130073,0.875130073,<__main__.CNNSummary object at 0x0000023FCD420470>
0.2,ADAM,0.01,12,0.725806452,0.059426237,0.828459938,0.828459938,<__main__.CNNSummary object at 0x0000023FD2316930>
0.2,ADAM,0.01,16,0.696774194,0.05389366,0.840842872,0.840842872,<__main__.CNNSummary object at 0x0000023FD2587EF0>
0.2,ADAM,0.01,20,0.716129032,0.04247482,0.833949011,0.833949011,<__main__.CNNSummary object at 0x0000023FD25850A0>
0.3,SGD,0.001,4,0.50483871,0.007030482,0.510405827,0.510405827,<__main__.CNNSummary object at 0x0000023FD22B2540>
0.3,SGD,0.001,8,0.496774194,0.003225806,0.477575442,0.477575442,<__main__.CNNSummary object at 0x0000023FD26C91F0>
0.3,SGD,0.001,12,0.493548387,0.006451613,0.496305931,0.496305931,<__main__.CNNSummary object at 0x0000023FD206FC50>
0.3,SGD,0.001,16,0.509677419,0.007818838,0.494120708,0.494120708,<__main__.CNNSummary object at 0x0000023FD24C7C20>
0.3,SGD,0.001,20,0.498387097,0.008980265,0.555723205,0.555723205,<__main__.CNNSummary object at 0x0000023FD245DC70>
0.3,SGD,0.005,4,0.532258065,0.024327586,0.598126951,0.598126951,<__main__.CNNSummary object at 0x0000023FD2604D70>
0.3,SGD,0.005,8,0.496774194,0.00790158,0.575962539,0.575962539,<__main__.CNNSummary object at 0x0000023FD280F6B0>
0.3,SGD,0.005,12,0.493548387,0.006451613,0.59698231,0.59698231,<__main__.CNNSummary object at 0x0000023FD280CCB0>
0.3,SGD,0.005,16,0.5,0,0.604812695,0.604812695,<__main__.CNNSummary object at 0x0000023FD1930C50>
0.3,SGD,0.005,20,0.5,0,0.522840791,0.522840791,<__main__.CNNSummary object at 0x0000023FD280F560>
0.3,SGD,0.01,4,0.596774194,0.059261849,0.723257024,0.723257024,<__main__.CNNSummary object at 0x0000023FD0442720>
0.3,SGD,0.01,8,0.49516129,0.003225806,0.517325702,0.517325702,<__main__.CNNSummary object at 0x0000023FD29A1E80>
0.3,SGD,0.01,12,0.520967742,0.025064952,0.53582206,0.53582206,<__main__.CNNSummary object at 0x0000023FD280FF80>
0.3,SGD,0.01,16,0.530645161,0.030645161,0.615504683,0.615504683,<__main__.CNNSummary object at 0x0000023FD2A07FB0>
0.3,SGD,0.01,20,0.533870968,0.040031205,0.6078564,0.6078564,<__main__.CNNSummary object at 0x0000023FD272E3F0>
0.3,ADAM,0.001,4,0.853225806,0.017557694,0.933558793,0.933558793,<__main__.CNNSummary object at 0x0000023FD29A0AA0>
0.3,ADAM,0.001,8,0.74516129,0.066384244,0.808636837,0.808636837,<__main__.CNNSummary object at 0x0000023FD29A3C20>
0.3,ADAM,0.001,12,0.74516129,0.067693915,0.810613944,0.810613944,<__main__.CNNSummary object at 0x0000023FCF2AA8D0>
0.3,ADAM,0.001,16,0.777419355,0.035666684,0.899271592,0.899271592,<__main__.CNNSummary object at 0x0000023FD286D430>
