Drop Rate,Activation Function,Learning Rates,CF Size,Mean Accuracy,Accuracy Standard Error,Mean AUC,AUC Standard Error,SummaryObject
0.1,SGD,0.01,20.0,0.5867469879518072,0.0431617152388582,0.7353295586527293,0.09240224727268267,<__main__.CNNSummary object at 0x0000027D8B9E0B00>
0.1,ADAM,0.001,4.0,0.8572289156626507,0.027517001435075295,0.9526713124274101,0.005948274216443012,<__main__.CNNSummary object at 0x0000027D999B94C0>
0.1,ADAM,0.001,8.0,0.833132530120482,0.035582986567764714,0.95176393728223,0.01117325704747074,<__main__.CNNSummary object at 0x0000027D9999D730>
0.1,ADAM,0.001,12.0,0.8638554216867471,0.017075949136214894,0.9563734030197445,0.008131822950478571,<__main__.CNNSummary object at 0x0000027D8BB84CE0>
0.1,ADAM,0.001,16.0,0.8493975903614459,0.007854460729159823,0.9529181184668989,0.005373296338119963,<__main__.CNNSummary object at 0x0000027D8BA71100>
0.1,ADAM,0.001,20.0,0.8722891566265061,0.009116112018326239,0.957752613240418,0.00447254036044192,<__main__.CNNSummary object at 0x0000027D99964B30>
0.1,ADAM,0.005,4.0,0.791566265060241,0.035605926069385244,0.940338269454123,0.008916815024770076,<__main__.CNNSummary object at 0x0000027D8BAC5D00>
0.1,ADAM,0.005,8.0,0.7246987951807228,0.06728136314091428,0.8381823461091755,0.08658506689402767,<__main__.CNNSummary object at 0x0000027D9991FCB0>
0.1,ADAM,0.005,12.0,0.8036144578313253,0.025225791224349522,0.9579631242740998,0.0034356707562159233,<__main__.CNNSummary object at 0x0000027D8BB855E0>
0.1,ADAM,0.005,16.0,0.7373493975903614,0.057768540215599275,0.9411295005807201,0.012282897071555637,<__main__.CNNSummary object at 0x0000027D8BBB5BB0>
0.1,ADAM,0.005,20.0,0.7524096385542169,0.061103761080902076,0.922444831591173,0.03531403608883571,<__main__.CNNSummary object at 0x0000027D999EC8C0>
0.1,ADAM,0.01,4.0,0.6445783132530121,0.02695741064489692,0.7269127468060395,0.06539132920458414,<__main__.CNNSummary object at 0x0000027D8BC645F0>
0.1,ADAM,0.01,8.0,0.6644578313253012,0.05921260816411763,0.793996806039489,0.04325594481392413,<__main__.CNNSummary object at 0x0000027D99930B00>
0.1,ADAM,0.01,12.0,0.7018072289156627,0.04106781634401195,0.9098940185830429,0.020637001988383974,<__main__.CNNSummary object at 0x0000027D8BA23AA0>
0.1,ADAM,0.01,16.0,0.691566265060241,0.050460572876350064,0.8645542973286876,0.02919688435575496,<__main__.CNNSummary object at 0x0000027D8B9798E0>
0.1,ADAM,0.01,20.0,0.6216867469879518,0.04617971860264189,0.7864038908246224,0.034793438313700326,<__main__.CNNSummary object at 0x0000027D93915BB0>
0.2,SGD,0.001,4.0,0.5108433734939759,0.01117303433192254,0.5435068234610918,0.0193303037112519,<__main__.CNNSummary object at 0x0000027D89FB9DF0>
0.2,SGD,0.001,8.0,0.5126506024096386,0.012286794008657311,0.5502359175377468,0.024801814778755305,<__main__.CNNSummary object at 0x0000027D93AE11F0>
0.2,SGD,0.001,12.0,0.5114457831325301,0.004704969684281132,0.5341608594657375,0.009981893052083765,<__main__.CNNSummary object at 0x0000027D8B9FCAD0>
0.2,SGD,0.001,16.0,0.5036144578313253,0.003071698502164334,0.49242160278745645,0.01310607910481376,<__main__.CNNSummary object at 0x0000027D93AA4F50>
0.2,SGD,0.001,20.0,0.5,0.00269405780421661,0.5260198896631824,0.010514769360675823,<__main__.CNNSummary object at 0x0000027D8BA20890>
0.2,SGD,0.005,4.0,0.5265060240963855,0.019413112101592796,0.6309451219512194,0.028531481672107513,<__main__.CNNSummary object at 0x0000027D8BB609B0>
0.2,SGD,0.005,8.0,0.5102409638554216,0.012693558738376791,0.5994846109175378,0.06368067011679798,<__main__.CNNSummary object at 0x0000027D9085F590>
0.2,SGD,0.005,12.0,0.5686746987951807,0.06872752143109236,0.6543989547038327,0.07074087787903897,<__main__.CNNSummary object at 0x0000027D8BA4BE60>
0.2,SGD,0.005,16.0,0.5463855421686747,0.03549363645867835,0.6209603658536584,0.0725893405166423,<__main__.CNNSummary object at 0x0000027D908B8B00>
0.2,SGD,0.005,20.0,0.5734939759036145,0.061082970921719285,0.6618394308943089,0.07966348980003911,<__main__.CNNSummary object at 0x0000027D909D8B00>
0.2,SGD,0.01,4.0,0.6295180722891566,0.07869462283925042,0.7892639372822299,0.10035239714903552,<__main__.CNNSummary object at 0x0000027D93AEADE0>
0.2,SGD,0.01,8.0,0.6403614457831325,0.06965324812668239,0.7836817653890824,0.09639710775488518,<__main__.CNNSummary object at 0x0000027D909B0B00>
0.2,SGD,0.01,12.0,0.7006024096385542,0.08507956536692646,0.8340447154471544,0.07431071575426555,<__main__.CNNSummary object at 0x0000027D93AA6120>
0.2,SGD,0.01,16.0,0.7253012048192771,0.09331226130595316,0.8828796457607433,0.06884144955658139,<__main__.CNNSummary object at 0x0000027D8B9792E0>
0.2,SGD,0.01,20.0,0.5512048192771084,0.03136003634896474,0.8487587108013939,0.06207640960041951,<__main__.CNNSummary object at 0x0000027D9AB93230>
